KLA-Tencor,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lot ID:          51_21_A8_FM13T_WNIR_DG_V4_S1,,,,,,,,,,,,,,,,,,
Start Time:      10/18/2018 2:10:27 PM,,,,,,,,,,,,,,,,,,
End Time:        10/18/2018 3:47:41 PM,,,,,,,,,,,,,,,,,,
Tool Recipe ID:  KT_APPS\B16R_51_21\BSL20181017\OriginalPOR\51_21_A8_FM13T_WNIR_DG_V4_S1,,,,,,,,,,,,,,,,,,
Analysis Set:    W1F1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WaferNum,WaferExeNum,WaferStageID,WaferID,TestNumber,ElementIndexX,ElementIndexY,FieldX,FieldY,FieldXPos,FieldYPos,ScanDirection,TargetX,TargetY,OverlayX,OverlayY,DataType,FlyerFlag,TestLabel
1,1,NA,1,4,0,0,0,3,-10.633,84.198,,21.228,30.026,-0.2806016,-7.2503416,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,0,3,-10.633,84.198,,21.228,0.536,-0.0456481,-2.8936943,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,0,3,-10.633,84.198,,10.734,0.498,-0.4799764,-2.1420854,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,0,3,-10.633,84.198,,0.08,14.818,0.0785416,-4.4875079,Raw,None,(REGXY_RET1)
1,1,NA,1,8,0,0,0,3,-10.633,84.198,,10.734,30.056,-0.5209254,-8.783087,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,0,3,-10.633,84.198,,21.228,15.736,-0.8156242,-3.2594326,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,0,3,-10.633,84.198,,5.17,7.68,-8.1005244,0.5026385,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,3,-10.633,84.198,,5.17,22.918,-4.0385145,-6.2880138,Raw,None,(REGXY_RET1)
1,1,NA,1,12,0,0,0,3,-10.633,84.198,,15.824,22.918,2.393169,-7.3248314,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,0,3,-10.633,84.198,,15.824,7.68,3.8344407,-7.4160983,Raw,None,(REGXY_RET1)
1,1,NA,1,1,0,0,0,4,-10.633,114.677,,10.127,15.333,-4.6507361,-1.5273767,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,0,4,-10.633,114.677,,0.08,0.536,-6.8767525,1.0871486,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,0,4,-10.633,114.677,,21.228,0.536,-1.7755769,-1.4502026,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,0,4,-10.633,114.677,,10.734,0.498,-5.6570084,-0.1026751,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,0,4,-10.633,114.677,,0.08,14.818,-2.1884238,-0.0959643,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,0,4,-10.633,114.677,,21.228,15.736,1.3855542,4.8566015,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,0,4,-10.633,114.677,,5.17,7.68,-2.7798352,-1.1535855,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,4,-10.633,114.677,,5.17,22.918,-4.6252269,-3.7587157,Raw,None,(REGXY_RET1)
1,1,NA,1,12,0,0,0,4,-10.633,114.677,,15.824,22.918,0.7693048,-7.278527,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,0,4,-10.633,114.677,,15.824,7.68,0.8975222,-1.9179449,Raw,None,(REGXY_RET1)
1,1,NA,1,3,0,0,0,-5,-10.633,-159.627,,0.08,30.026,-5.0374025,-6.3765962,Raw,None,(REGXY_RET1)
1,1,NA,1,4,0,0,0,-5,-10.633,-159.627,,21.228,30.026,-0.0275231,-5.2062338,Raw,None,(REGXY_RET1)
1,1,NA,1,8,0,0,0,-5,-10.633,-159.627,,10.734,30.056,-0.4746061,-12.7135989,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,-5,-10.633,-159.627,,5.17,22.918,-7.5332796,-3.9217879,Raw,None,(REGXY_RET1)
1,1,NA,1,12,0,0,0,-5,-10.633,-159.627,,15.824,22.918,-3.6760149,-5.0512145,Raw,None,(REGXY_RET1)
1,1,NA,1,1,0,0,0,-4,-10.633,-129.149,,10.127,15.333,-8.4073066,-1.3898054,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,0,-4,-10.633,-129.149,,0.08,0.536,-7.7541359,4.0768072,Raw,None,(REGXY_RET1)
1,1,NA,1,3,0,0,0,-4,-10.633,-129.149,,0.08,30.026,-3.0416405,-0.701949,Raw,None,(REGXY_RET1)
1,1,NA,1,4,0,0,0,-4,-10.633,-129.149,,21.228,30.026,2.4938633,-0.1053595,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,0,-4,-10.633,-129.149,,21.228,0.536,-5.3119624,2.7990721,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,0,-4,-10.633,-129.149,,10.734,0.498,-3.0960155,0.7482535,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,0,-4,-10.633,-129.149,,0.08,14.818,-4.6809444,-1.7018573,Raw,None,(REGXY_RET1)
1,1,NA,1,8,0,0,0,-4,-10.633,-129.149,,10.734,30.056,3.1745571,-3.1466912,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,0,-4,-10.633,-129.149,,21.228,15.736,-1.3224524,8.817983,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,0,-4,-10.633,-129.149,,5.17,7.68,-6.3947622,2.46823,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,-4,-10.633,-129.149,,5.17,22.918,-4.7903657,1.3072627,Raw,None,(REGXY_RET1)
1,1,NA,1,12,0,0,0,-4,-10.633,-129.149,,15.824,22.918,1.7910168,-0.9744072,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,0,-4,-10.633,-129.149,,15.824,7.68,-1.7064335,-1.3455142,Raw,None,(REGXY_RET1)
1,1,NA,1,1,0,0,0,-3,-10.633,-98.671,,10.127,15.333,-4.1875422,-5.0840974,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,0,-3,-10.633,-98.671,,0.08,0.536,-3.633052,4.7988887,Raw,None,(REGXY_RET1)
1,1,NA,1,3,0,0,0,-3,-10.633,-98.671,,0.08,30.026,-2.6777983,-9.5669076,Raw,None,(REGXY_RET1)
1,1,NA,1,4,0,0,0,-3,-10.633,-98.671,,21.228,30.026,4.9266387,-8.6871226,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,0,-3,-10.633,-98.671,,21.228,0.536,2.0333544,3.0144886,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,0,-3,-10.633,-98.671,,10.734,0.498,-3.335668,4.8673388,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,0,-3,-10.633,-98.671,,0.08,14.818,-3.353793,-3.3506993,Raw,None,(REGXY_RET1)
1,1,NA,1,8,0,0,0,-3,-10.633,-98.671,,10.734,30.056,0.0563888,-11.996215,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,0,-3,-10.633,-98.671,,21.228,15.736,2.4851364,1.1864684,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,0,-3,-10.633,-98.671,,5.17,7.68,-3.0637933,0.7784521,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,-3,-10.633,-98.671,,5.17,22.918,-5.2495319,-8.8059037,Raw,None,(REGXY_RET1)
1,1,NA,1,12,0,0,0,-3,-10.633,-98.671,,15.824,22.918,1.251295,-6.864471,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,0,-3,-10.633,-98.671,,15.824,7.68,1.6936789,0.3187627,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,0,-2,-10.633,-68.193,,0.08,0.536,-8.0582328,-10.7976673,Raw,None,(REGXY_RET1)
1,1,NA,1,3,0,0,0,-2,-10.633,-68.193,,0.08,30.026,-6.1161746,-17.4473928,Raw,None,(REGXY_RET1)
1,1,NA,1,4,0,0,0,-2,-10.633,-68.193,,21.228,30.026,6.9331414,-17.8574223,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,0,-2,-10.633,-68.193,,21.228,0.536,3.0825896,-9.155536,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,0,-2,-10.633,-68.193,,10.734,0.498,-4.5158057,-9.8688934,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,0,-2,-10.633,-68.193,,0.08,14.818,-6.6384425,-20.5410688,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,0,-2,-10.633,-68.193,,21.228,15.736,3.7122649,-13.4779583,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,0,-2,-10.633,-68.193,,5.17,7.68,-6.0396469,-17.6728755,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,-2,-10.633,-68.193,,5.17,22.918,-6.0255497,-19.2036076,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,0,-2,-10.633,-68.193,,15.824,7.68,4.6010603,-18.4258266,Raw,None,(REGXY_RET1)
1,1,NA,1,1,0,0,0,-1,-10.633,-37.714,,10.127,15.333,-7.2432799,-18.7472736,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,0,-1,-10.633,-37.714,,0.08,0.536,-11.1267252,-19.7773804,Raw,None,(REGXY_RET1)
1,1,NA,1,3,0,0,0,-1,-10.633,-37.714,,0.08,30.026,-8.6489729,-7.9683965,Raw,None,(REGXY_RET1)
1,1,NA,1,4,0,0,0,-1,-10.633,-37.714,,21.228,30.026,4.9158979,-4.0647278,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,0,-1,-10.633,-37.714,,21.228,0.536,1.039837,-17.4574591,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,0,-1,-10.633,-37.714,,10.734,0.498,-4.3479818,-16.5105661,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,0,-1,-10.633,-37.714,,0.08,14.818,-10.7011237,-16.7501414,Raw,None,(REGXY_RET1)
1,1,NA,1,8,0,0,0,-1,-10.633,-37.714,,10.734,30.056,0.1141203,-13.9899919,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,0,-1,-10.633,-37.714,,21.228,15.736,2.5542799,-11.3627161,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,0,-1,-10.633,-37.714,,5.17,7.68,-8.8141117,-17.101787,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,0,-1,-10.633,-37.714,,5.17,22.918,-7.4916593,-15.4683797,Raw,None,(REGXY_RET1)
1,1,NA,1,12,0,0,0,-1,-10.633,-37.714,,15.824,22.918,1.5547206,-15.1623675,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,0,-1,-10.633,-37.714,,15.824,7.68,-0.9646518,-19.2009233,Raw,None,(REGXY_RET1)
1,1,NA,1,1,0,0,1,0,10.675,-7.236,,10.127,15.333,6.0107812,6.0591758,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,1,0,10.675,-7.236,,0.08,0.536,-0.1523841,-13.1330235,Raw,None,(REGXY_RET1)
1,1,NA,1,4,0,0,1,0,10.675,-7.236,,21.228,30.026,11.1555909,15.1986058,Raw,None,(REGXY_RET1)
1,1,NA,1,5,0,0,1,0,10.675,-7.236,,21.228,0.536,11.9967243,-8.3811104,Raw,None,(REGXY_RET1)
1,1,NA,1,6,0,0,1,0,10.675,-7.236,,10.734,0.498,5.0555275,-6.9812389,Raw,None,(REGXY_RET1)
1,1,NA,1,7,0,0,1,0,10.675,-7.236,,0.08,14.818,5.4435363,4.7438601,Raw,None,(REGXY_RET1)
1,1,NA,1,8,0,0,1,0,10.675,-7.236,,10.734,30.056,6.2349939,11.1211276,Raw,None,(REGXY_RET1)
1,1,NA,1,9,0,0,1,0,10.675,-7.236,,21.228,15.736,13.3889914,6.593355,Raw,None,(REGXY_RET1)
1,1,NA,1,10,0,0,1,0,10.675,-7.236,,5.17,7.68,5.6355269,-6.5054436,Raw,None,(REGXY_RET1)
1,1,NA,1,11,0,0,1,0,10.675,-7.236,,5.17,22.918,5.0367311,11.8828026,Raw,None,(REGXY_RET1)
1,1,NA,1,13,0,0,1,0,10.675,-7.236,,15.824,7.68,12.1450806,-5.9189201,Raw,None,(REGXY_RET1)
1,1,NA,1,1,0,0,1,1,10.675,23.242,,10.127,15.333,-0.4215737,12.0264136,Raw,None,(REGXY_RET1)
1,1,NA,1,2,0,0,1,1,10.675,23.242,,0.08,0.536,-2.9852517,14.7590488,Raw,None,(REGXY_RET1)
